company,source_job_id,title,role_family,city,state,country,workplace_type,employment_type,first_seen_at,source_posted_at,posting_url
BARCLAYS,98249893184,Broker Dealer Regulatory Reporting Analyst,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:16.229615,2026-08-10 00:00:00,https://search.jobs.barclays/job/whippany/broker-dealer-regulatory-reporting-analyst/13015/98249893184
BARCLAYS,98136606832,Agile Master Coach,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:17.181481,2026-07-22 00:00:00,https://search.jobs.barclays/job/whippany/agile-master-coach/13015/98136606832
BARCLAYS,97923297904,Senior Forward Deployed AI Engineer,Data and AI,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:18.211583,2026-08-17 00:00:00,https://search.jobs.barclays/job/whippany/senior-forward-deployed-ai-engineer/13015/97923297904
BARCLAYS,97849115536,Correspondent Banking Investigation AVP,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:19.998284,2026-08-20 00:00:00,https://search.jobs.barclays/job/whippany/correspondent-banking-investigation-avp/13015/97849115536
BARCLAYS,97747005216,"Axiom Developer, AVP",Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:21.204025,2026-07-13 00:00:00,https://search.jobs.barclays/job/whippany/axiom-developer-avp/13015/97747005216
BARCLAYS,97629421936,Senior Java Developer – Portal,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:22.161260,2026-07-10 00:00:00,https://search.jobs.barclays/job/whippany/senior-java-developer-portal/13015/97629421936
BARCLAYS,97629421904,Technology Analyst,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:22.943314,2026-07-10 00:00:00,https://search.jobs.barclays/job/whippany/technology-analyst/13015/97629421904
BARCLAYS,97629421872,Internal Tech Auditor – AVP,Audit,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:24.294254,2026-07-10 00:00:00,https://search.jobs.barclays/job/whippany/internal-tech-auditor-avp/13015/97629421872
BARCLAYS,97629421648,"AVP, Credit Risk Reporting",Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:25.201758,2026-07-10 00:00:00,https://search.jobs.barclays/job/whippany/avp-credit-risk-reporting/13015/97629421648
BARCLAYS,97614952672,Full Stack Developer – Securitized Products Technology,Software Engineering,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:26.209842,2026-07-10 00:00:00,https://search.jobs.barclays/job/whippany/full-stack-developer-securitized-products-technology/13015/97614952672
BARCLAYS,97614952256,Test Engineer AVP,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:27.062677,2026-07-10 00:00:00,https://search.jobs.barclays/job/whippany/test-engineer-avp/13015/97614952256
BARCLAYS,97567869984,Senior Data Analytics Developer,Software Engineering,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:28.110843,2026-07-09 00:00:00,https://search.jobs.barclays/job/whippany/senior-data-analytics-developer/13015/97567869984
BARCLAYS,97535825040,Java Developer,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:29.545772,2026-07-08 00:00:00,https://search.jobs.barclays/job/whippany/java-developer/13015/97535825040
BARCLAYS,97535824848,Business Analyst,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:30.075410,2026-07-08 00:00:00,https://search.jobs.barclays/job/whippany/business-analyst/13015/97535824848
BARCLAYS,97535824704,"Sr ETL Developer, AVP",Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:31.384606,2026-07-08 00:00:00,https://search.jobs.barclays/job/whippany/sr-etl-developer-avp/13015/97535824704
BARCLAYS,97535824640,"Penetration Tester, AVP",Cybersecurity,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:32.418718,2026-07-08 00:00:00,https://search.jobs.barclays/job/whippany/penetration-tester-avp/13015/97535824640
BARCLAYS,97535824592,"AVP, Back End Engineer",Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:33.331187,2026-07-08 00:00:00,https://search.jobs.barclays/job/whippany/avp-back-end-engineer/13015/97535824592
BARCLAYS,97490237840,Business Intelligence Developer,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:34.491980,2026-07-07 00:00:00,https://search.jobs.barclays/job/whippany/business-intelligence-developer/13015/97490237840
BARCLAYS,97490237776,Senior Software Engineer,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:35.626658,2026-07-07 00:00:00,https://search.jobs.barclays/job/whippany/senior-software-engineer/13015/97490237776
BARCLAYS,97157401472,Data Engineer - AVP,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:37.378989,2026-06-30 00:00:00,https://search.jobs.barclays/job/whippany/data-engineer-avp/13015/97157401472
BARCLAYS,97110713696,"Assistant VP, TDS Senior Developer",Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:38.982677,2026-06-29 00:00:00,https://search.jobs.barclays/job/whippany/assistant-vp-tds-senior-developer/13015/97110713696
BARCLAYS,97095888048,"AVP, Business Insights and Analytics",Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:39.113071,2026-06-29 00:00:00,https://search.jobs.barclays/job/whippany/avp-business-insights-and-analytics/13015/97095888048
BARCLAYS,96979853312,Data Strategy Manager,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:40.375314,2026-06-26 00:00:00,https://search.jobs.barclays/job/whippany/data-strategy-manager/13015/96979853312
BARCLAYS,96874820416,Solution Architect - VP,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:41.436663,2026-07-31 00:00:00,https://search.jobs.barclays/job/whippany/solution-architect-vp/13015/96874820416
BARCLAYS,96800464016,"Assistant VP, DevOps Engineer",Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:42.421445,2026-06-22 00:00:00,https://search.jobs.barclays/job/whippany/assistant-vp-devops-engineer/13015/96800464016
BARCLAYS,96172944576,Principal Wallet Security Engineer – Digital Assets,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:43.545762,2026-07-30 00:00:00,https://search.jobs.barclays/job/whippany/principal-wallet-security-engineer-digital-assets/13015/96172944576
BARCLAYS,96018448576,Application Support Analyst,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:44.169315,2026-08-13 00:00:00,https://search.jobs.barclays/job/whippany/application-support-analyst/13015/96018448576
BARCLAYS,95994010176,"Assistant VP, Windows Server Engineer",Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:45.555992,2026-06-05 00:00:00,https://search.jobs.barclays/job/whippany/assistant-vp-windows-server-engineer/13015/95994010176
BARCLAYS,94739706720,Liquid Financing Senior Full Stack Software Engineer,Software Engineering,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:47.399726,2026-07-28 00:00:00,https://search.jobs.barclays/job/whippany/liquid-financing-senior-full-stack-software-engineer/13015/94739706720
BARCLAYS,94069397632,DCW M365 Power Platform / Azure Developer,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:50.261924,2026-06-05 00:00:00,https://search.jobs.barclays/job/whippany/dcw-m365-power-platform-azure-developer/13015/94069397632
BARCLAYS,93930540112,Securitized Products Trading Floor Support Lead,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:50.881933,2026-07-20 00:00:00,https://search.jobs.barclays/job/whippany/securitized-products-trading-floor-support-lead/13015/93930540112
BARCLAYS,93512447984,AVP-Transformation and Design Enablement,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:51.916238,2026-08-12 00:00:00,https://search.jobs.barclays/job/whippany/avp-transformation-and-design-enablement/13015/93512447984
BARCLAYS,93384859200,Client Implementation Manager - Cash Management,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:52.664476,2026-07-08 00:00:00,https://search.jobs.barclays/job/whippany/client-implementation-manager-cash-management/13015/93384859200
BARCLAYS,87902474864,Principal Engineer - Data and AI,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:59:54.330702,2026-06-19 00:00:00,https://search.jobs.barclays/job/whippany/principal-engineer-data-and-ai/13015/87902474864
